title,url,year,acta_number,section,part,source_type,publication_date,source_page_url,catalog_id,listing_status
Acta No 01 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2001_20de_202013.pdf,2013,01,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-01-completa,listed
Acta No 02 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2002_20de_202013.pdf,2013,02,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-02-completa,listed
Acta No 03 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2003_20de_202013.pdf,2013,03,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-03-completa,listed
Acta No 04 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2004_20de_202013.pdf,2013,04,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-04-completa,listed
Acta No 05 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2005_20de_202013.pdf,2013,05,SEMPB,,official,2013-02-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-05-completa,listed
Acta No 06 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2006_20de_202013_20SEMPB.pdf,2013,06,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-06-completa,listed
Acta No 07 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2007_20de_202013_20SEMPB.pdf,2013,07,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-07-completa,listed
Acta No 08 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2008_20de_202013_20SEMPB.pdf,2013,08,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-08-completa,listed
Acta No 09 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2009_20de_202013_20SEMPB.pdf,2013,09,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-09-completa,listed
Acta No 10 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2010_20de_202013_20SEMPB.pdf,2013,10,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-10-completa,listed
Acta No 11 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2011_20de_202013_20SEMPB.pdf,2013,11,SEMPB,,official,2013-03-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-11-completa,listed
Acta No 12 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2012_20de_202013_20SEMPB_20para_20publicar.pdf,2013,12,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-12-completa,listed
Acta No 13 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2013_20de_202013_20SEMPB_20para_20publicar.pdf,2013,13,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-13-completa,listed
Acta No 14 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2014_20de_202013_20SEMPB_20para_20publicar.pdf,2013,14,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-14-completa,listed
Acta No 15 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2015_20de_202013_20SEMPB_20para_20publicar.pdf,2013,15,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-15-completa,listed
Acta No 16 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2016_20de_202013_20SEMPB_20para_20publicar.pdf,2013,16,SEMPB,,official,2013-04-10,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-16-completa,listed
Acta No 17 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2017_20de_202013_20REVISADA.pdf,2013,17,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-17-completa,listed
Acta No 18 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2018_20de_202013_20REVISADA.pdf,2013,18,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-18-completa,listed
Acta No 19 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2019_20de_202013_20SEMPB_20REVISADA.pdf,2013,19,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-19-completa,listed
Acta No 20 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2020_20de_202013_20SEMPB_20REVISADA.pdf,2013,20,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-20-completa,listed
Acta No 21 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2021_20de_202013_20SEMPB_20REVISADA.pdf,2013,21,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-21-completa,listed
Acta No 22 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2022_20de_202013_20SEMPB_20REVISADA.pdf,2013,22,SEMPB,,official,2013-05-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-22-completa,listed
Acta No 23 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2023_20de_202013_20SEMPB_20REVISADA.pdf,2013,23,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-23-completa,listed
Acta No 24 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2024_20de_202013_20SEMPB_20REVISADA.pdf,2013,24,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-24-completa,listed
Acta No 25 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2025_20de_202013_20SEMPB_20REVISADA.pdf,2013,25,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-25-completa,listed
Acta No 26 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2026_20de_202013_20SEMPB_20REVISADA_20SeulCami.pdf,2013,26,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-26-completa,listed
Acta No 27 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2027_20de_202013_20SEMPB_20REVISADA.pdf,2013,27,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-27-completa,listed
Acta No 28 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2028_20de_202013_20SEMPB_20REVISADA.pdf,2013,28,SEMPB,,official,2013-06-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-28-completa,listed
Acta No 29 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2029_20de_202013_20SEMPB.pdf,2013,29,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-29-completa,listed
Acta No 30 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2030_20de_202013_20SEMPB.pdf,2013,30,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-30-completa,listed
Acta No 31 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2031_20de_202013_20SEMPB.pdf,2013,31,SEMPB,,official,2013-07-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-31-completa,listed
Acta No 32 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2032_20de_202013_20SEMPB.pdf,2013,32,SEMPB,,official,2013-07-09,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-32-completa,listed
Acta No 33 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2033_20de_202013_20SEMPB.pdf,2013,33,SEMPB,,official,2013-07-09,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-33-completa,listed
Acta No 34 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2034_20de_202013_20SEMPB.pdf,2013,34,SEMPB,,official,2013-07-09,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-34-completa,listed
Acta No 35 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2035_20de_202013_20SEMPB.pdf,2013,35,SEMPB,,official,2013-07-30,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-35-completa,listed
Acta No 36 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2036_20de_202013_20SEMPB.pdf,2013,36,SEMPB,,official,2013-08-02,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-36-completa,listed
Acta No 37 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2037_20de_202013_20SEMPB.pdf,2013,37,SEMPB,,official,2013-08-12,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-37-completa,listed
Acta No 38 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2038_20de_202013_20SEMPB.pdf,2013,38,SEMPB,,official,2013-08-12,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-38-completa,listed
Acta No 39 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2039_20de_202013_20SEMPB.pdf,2013,39,SEMPB,,official,2013-08-28,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-39-completa,listed
Acta No 40 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2040_20de_202013_20SEMPB_20final_201.pdf,2013,40,SEMPB,,official,2013-09-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-40-completa,listed
Acta No 41 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2041_20de_202013_20SEMPB.pdf,2013,41,SEMPB,,official,2013-09-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-41-completa,listed
Acta No 42 de 2013 SEMPB Primera Parte,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2042_20de_202013_20SEMPB_20PRIMERA_20PARTE.pdf,2013,42,SEMPB,Primera Parte,official,2013-09-20,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-42-primera-parte,listed
Acta No 42 de 2013 SEMPB Segunda Parte,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2042_20de_202013_20SEMPB_20SEGUNDA_20PARTE.pdf,2013,42,SEMPB,Segunda Parte,official,2013-10-17,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-42-segunda-parte,listed
Acta No 43 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2043_20de_202013_20SEMPB.pdf,2013,43,SEMPB,,official,2013-10-22,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-43-completa,listed
Acta No 44 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2044_20de_202013_20SEMPB.pdf,2013,44,SEMPB,,official,2013-10-16,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-44-completa,listed
Acta No 45 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2045_20de_202013_20SEMPB.pdf,2013,45,SEMPB,,official,2013-10-25,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-45-completa,listed
Acta No 46 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2046_20de_202013_20SEMPB.pdf,2013,46,SEMPB,,official,2013-10-30,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-46-completa,listed
Acta No 47 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2047_20de_202013_20SEMPB_20FINAL.pdf,2013,47,SEMPB,,official,2013-11-22,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-47-completa,listed
Acta No 48 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2048_20de_202013_20SEMPB.pdf,2013,48,SEMPB,,official,2013-11-25,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-48-completa,listed
Acta No 49 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2049_20de_202013_20SEMPB.pdf,2013,49,SEMPB,,official,2013-11-28,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-49-completa,listed
Acta No 50 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2050_20de_202013_20SEMPB_20final.pdf,2013,50,SEMPB,,official,2013-12-13,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-50-completa,listed
Acta No 51 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2051_20de_202013_20SEMPB_20final.pdf,2013,51,SEMPB,,official,2013-12-16,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-51-completa,listed
Acta No 52 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2052_20de_202013_20SEMPB_20final.pdf,2013,52,SEMPB,,official,2013-12-19,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-52-completa,listed
Acta No 53 de 2013 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2053_20de_202013_20SEMPB_20final.pdf,2013,53,SEMPB,,official,2013-12-23,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2013-sempb-53-completa,listed
Acta No 01 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2001_20de_202014_20SEMPB.pdf,2014,01,SEMPB,,official,2014-02-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-01-completa,listed
Acta No 02 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2002_20de_202014_20SEMPB.pdf,2014,02,SEMPB,,official,2014-02-19,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-02-completa,listed
Acta No 03 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2003_20de_202014_20SEMPB.pdf,2014,03,SEMPB,,official,2014-03-13,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-03-completa,listed
Acta No 04 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_2004_20de_202014_20SEMPB.pdf,2014,04,SEMPB,,official,2014-03-18,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-04-completa,listed
Acta No 05 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2005_20de_202014_20SEMPB.pdf,2014,05,SEMPB,,official,2014-05-14,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-05-completa,listed
Acta No 06 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2006_20de_202014_20SEMPB.pdf,2014,06,SEMPB,,official,2014-05-19,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-06-completa,listed
Acta No 07 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2007_20de_202014_20SEMPB.pdf,2014,07,SEMPB,,official,2014-06-06,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-07-completa,listed
Acta No 08 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2008_20de_202014_20SEMPB.pdf,2014,08,SEMPB,,official,2014-06-16,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-08-completa,listed
Acta No 09 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2009_20de_202014_20SEMPB.pdf,2014,09,SEMPB,,official,2014-07-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-09-completa,listed
Acta No 10 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2010_20de_202014_20SEMPB.pdf,2014,10,SEMPB,,official,2014-07-08,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-10-completa,listed
Acta No 11 de 2014 SEMPB Primera Parte,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2011_20de_202014_20SEMPB_20PRIMERA_20PARTE.pdf,2014,11,SEMPB,Primera Parte,official,2014-07-04,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-11-primera-parte,listed
Acta No 11 de 2014 SEMPB Segunda Parte,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2011_20de_202014_20SEMPB_20SEGUNDA_20PARTE.pdf,2014,11,SEMPB,Segunda Parte,official,2014-08-01,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-11-segunda-parte,listed
Acta No 12 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2012_20de_202014_20SEMPB.pdf,2014,12,SEMPB,,official,2014-08-04,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-12-completa,listed
Acta No 13 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2013_20de_202014_20SEMPB.pdf,2014,13,SEMPB,,official,2014-08-11,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-13-completa,listed
Acta No 14 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2014_20de_202014_20SEMPB_201_20de_20septiembre.pdf,2014,14,SEMPB,,official,2014-09-03,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-14-completa,listed
Acta No 15 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No_20_2015_20de_202014_20SEMPB_0.pdf,2014,15,SEMPB,,official,2014-09-05,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-15-completa,listed
Acta No 16 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2016_20de_202014_20SEMPB.pdf,2014,16,SEMPB,,official,2014-09-19,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-16-completa,listed
Acta No 17 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2017_20de_202014_20SEMPB.pdf,2014,17,SEMPB,,official,2014-09-29,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-17-completa,listed
Acta No 18 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2018_20de_202014_20SEMPB.pdf,2014,18,SEMPB,,official,2014-10-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-18-completa,listed
Acta No 19 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2019_20de_202014_20SEMPB.pdf,2014,19,SEMPB,,official,2014-10-27,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-19-completa,listed
Acta No 20 de 2014 SEMPB,https://www.invima.gov.co/invima_website/static/attachments/medicamentos_sala_especializada_medicamentos_sintesis/Acta_20No._2020_20de_202014_20SEMPB.pdf,2014,20,SEMPB,,official,2014-10-21,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,2014-sempb-20-completa,listed
